system,query_id,recall_at_1000,bpref,coverage_at_10,coverage_at_50,coverage_at_100,coverage_at_300,coverage_at_500,coverage_at_1000
production,39,0.75,0.5,0.0,0.0,0.0,0.0033333333333333335,0.006,0.005
production,40,0.0,0.0,0.0,0.02,0.01,0.0033333333333333335,0.002,0.003
production,41,1.0,0.4,0.0,0.0,0.01,0.006666666666666667,0.01,0.01
production,42,0.75,0.5625,0.0,0.02,0.01,0.01,0.012,0.008
production,43,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.002
production,44,1.0,1.0,0.0,0.02,0.02,0.016666666666666666,0.012,0.01
production,45,1.0,0.625,0.0,0.0,0.02,0.02,0.014,0.01
production,46,1.0,0.1875,0.0,0.02,0.01,0.006666666666666667,0.01,0.01
production,47,1.0,1.0,0.0,0.0,0.0,0.016666666666666666,0.012,0.01
production,48,0.5,0.25,0.0,0.0,0.0,0.0033333333333333335,0.01,0.008
production,49,1.0,0.5,0.0,0.0,0.03,0.01,0.006,0.01
production,50,1.0,0.5,0.0,0.04,0.03,0.01,0.01,0.009
production,51,1.0,0.5,0.0,0.0,0.0,0.006666666666666667,0.006,0.007
production,52,0.4444444444444444,0.1111111111111111,0.0,0.0,0.0,0.0,0.004,0.005
production,53,1.0,1.0,0.0,0.02,0.01,0.01,0.01,0.01
production,54,1.0,1.0,0.0,0.0,0.01,0.006666666666666667,0.004,0.01
production,55,1.0,0.375,0.0,0.0,0.0,0.006666666666666667,0.01,0.01
production,56,0.803921568627451,0.583075335397317,0.0,0.02,0.07,0.07,0.062,0.057
production,57,0.5,0.5,0.0,0.02,0.01,0.01,0.01,0.005
production,58,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0033333333333333335,0.002,0.002
production,59,1.0,0.1111111111111111,0.0,0.0,0.0,0.0033333333333333335,0.008,0.01
production,60,0.8,0.8,0.1,0.02,0.01,0.013333333333333334,0.012,0.008
production,61,,,0.0,0.0,0.0,0.0,0.0,0.0
production,62,1.0,0.6875,0.0,0.0,0.01,0.006666666666666667,0.008,0.009
production,63,0.8,0.64,0.0,0.06,0.03,0.01,0.006,0.005
production,64,0.875,0.875,0.0,0.0,0.0,0.0033333333333333335,0.006,0.007
production,65,0.8571428571428571,0.7142857142857144,0.0,0.02,0.01,0.006666666666666667,0.008,0.009
production,66,0.6181818181818182,0.4642424242424247,0.0,0.02,0.02,0.03333333333333333,0.044,0.042
production,67,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0033333333333333335,0.006,0.004
production,68,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.004,0.005
production,69,0.8888888888888888,0.8888888888888888,0.0,0.02,0.01,0.006666666666666667,0.008,0.008
production,70,0.3,0.3,0.0,0.0,0.0,0.0033333333333333335,0.004,0.003
production,71,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.006666666666666667,0.004,0.005
production,72,0.6216216216216216,0.6109746109746107,0.0,0.0,0.03,0.016666666666666666,0.016,0.025
production,73,,,0.0,0.0,0.01,0.0033333333333333335,0.002,0.004
production,74,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,0.01,0.008,0.009
production,75,0.6,0.6,0.0,0.0,0.02,0.02,0.012,0.006
production,76,1.0,0.8400000000000001,0.0,0.0,0.01,0.01,0.008,0.01
production,77,0.5,0.5,0.0,0.0,0.0,0.0033333333333333335,0.002,0.003
production,78,1.0,1.0,0.0,0.0,0.0,0.0033333333333333335,0.008,0.01
production,79,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.001
production,80,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.009
production,81,0.9,0.9,0.0,0.0,0.0,0.013333333333333334,0.008,0.009
production,82,0.9354838709677419,0.9354838709677419,0.0,0.08,0.09,0.06,0.05,0.058
production,83,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,0.006666666666666667,0.008,0.008
production,84,1.0,1.0,0.0,0.0,0.0,0.006666666666666667,0.008,0.01
production,85,1.0,1.0,0.0,0.0,0.01,0.01,0.014,0.009
production,86,1.0,0.8333333333333334,0.0,0.02,0.03,0.02,0.014,0.009
production,87,0.7,0.7,0.0,0.0,0.01,0.0033333333333333335,0.004,0.007
production,88,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.002
production,89,0.9,0.9,0.0,0.02,0.01,0.01,0.012,0.009
production,90,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.001
production,91,0.375,0.3281250000000001,0.0,0.0,0.01,0.023333333333333334,0.024,0.026
production,92,0.2857142857142857,0.2857142857142857,0.1,0.02,0.03,0.013333333333333334,0.018,0.018
production,93,0.5,0.5,0.0,0.0,0.0,0.0033333333333333335,0.004,0.004
production,94,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004
production,95,,,0.0,0.0,0.0,0.0,0.002,0.003
production,96,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.007
production,97,0.5,0.25,0.0,0.02,0.02,0.006666666666666667,0.004,0.005
production,98,0.6,0.6,0.0,0.0,0.0,0.0033333333333333335,0.006,0.006
production,99,0.9523809523809523,0.48072562358276644,0.0,0.0,0.02,0.023333333333333334,0.032,0.039
production,100,0.7777777777777778,0.6666666666666666,0.0,0.0,0.0,0.0,0.002,0.008
production,101,1.0,0.734711455641688,0.1,0.18,0.14,0.1,0.072,0.059
ours_logo_cv,1,0.5616438356164384,0.5469304921359712,0.0,0.14,0.09,0.05,0.04,0.043
ours_logo_cv,2,0.9230769230769231,0.7235732009925562,0.2,0.2,0.11,0.08666666666666667,0.09,0.081
ours_logo_cv,3,1.0,0.3061224489795919,0.2,0.24,0.14,0.08333333333333333,0.078,0.05
ours_logo_cv,4,0.8170731707317073,0.5924261874197693,0.1,0.08,0.12,0.11666666666666667,0.086,0.08
ours_logo_cv,5,0.9058823529411765,0.873949579831933,0.3,0.1,0.11,0.11333333333333333,0.094,0.08
ours_logo_cv,6,0.25,0.0625,0.0,0.0,0.0,0.0,0.0,0.005
ours_logo_cv,7,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.006666666666666667,0.006,0.005
ours_logo_cv,8,1.0,1.0,0.0,0.0,0.0,0.0,0.002,0.003
ours_logo_cv,9,0.25,0.25,0.0,0.0,0.0,0.0,0.006,0.003
ours_logo_cv,10,0.5,0.5,0.0,0.02,0.01,0.006666666666666667,0.008,0.004
ours_logo_cv,11,0.9090909090909091,0.5371900826446282,0.0,0.02,0.01,0.03333333333333333,0.052,0.058
ours_logo_cv,12,1.0,0.4437869822485207,0.0,0.0,0.02,0.03,0.05,0.056
ours_logo_cv,13,0.16666666666666666,0.125,0.0,0.0,0.0,0.0,0.0,0.002
ours_logo_cv,14,0.8260869565217391,0.6802536231884058,0.0,0.0,0.0,0.0,0.002,0.051
ours_logo_cv,15,0.02631578947368421,0.02631578947368421,0.0,0.0,0.0,0.0,0.002,0.001
ours_logo_cv,16,0.9,0.9,0.0,0.0,0.0,0.0,0.002,0.009
ours_logo_cv,17,0.4,0.4,0.0,0.0,0.0,0.0,0.002,0.004
ours_logo_cv,18,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.002
ours_logo_cv,19,0.5714285714285714,0.5714285714285714,0.0,0.04,0.02,0.016666666666666666,0.01,0.005
ours_logo_cv,20,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.002
ours_logo_cv,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ours_logo_cv,22,0.625,0.625,0.0,0.0,0.0,0.0,0.0,0.005
ours_logo_cv,23,0.75,0.75,0.0,0.0,0.0,0.0,0.002,0.006
ours_logo_cv,24,1.0,0.0,0.0,0.0,0.0,0.0,0.004,0.008
ours_logo_cv,25,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.004
ours_logo_cv,26,1.0,0.75,0.0,0.0,0.0,0.0,0.006,0.005
ours_logo_cv,27,0.696969696969697,0.3957759412304868,0.0,0.0,0.0,0.0,0.004,0.054
ours_logo_cv,28,0.6,0.6,0.0,0.0,0.0,0.0,0.002,0.006
ours_logo_cv,29,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.001
ours_logo_cv,30,0.6,0.6,0.0,0.0,0.0,0.0,0.004,0.006
ours_logo_cv,31,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.003
ours_logo_cv,32,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.007
ours_logo_cv,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
ours_logo_cv,34,0.7428571428571429,0.506938775510204,0.0,0.0,0.01,0.006666666666666667,0.014,0.046
ours_logo_cv,35,1.0,1.0,0.0,0.0,0.0,0.0033333333333333335,0.008,0.01
ours_logo_cv,36,1.0,1.0,0.0,0.0,0.0,0.0033333333333333335,0.006,0.004
ours_logo_cv,37,0.8571428571428571,0.42857142857142855,0.0,0.0,0.0,0.006666666666666667,0.006,0.009
ours_logo_cv,38,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.002
ours_logo_cv,39,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.003
ours_logo_cv,40,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.008,0.005
ours_logo_cv,41,1.0,0.39999999999999997,0.0,0.0,0.0,0.0,0.002,0.01
ours_logo_cv,42,0.625,0.625,0.0,0.0,0.0,0.0,0.0,0.005
ours_logo_cv,43,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.001
ours_logo_cv,44,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.008
ours_logo_cv,45,1.0,0.75,0.0,0.0,0.0,0.0,0.004,0.009
ours_logo_cv,46,1.0,0.9375,0.0,0.0,0.0,0.0,0.002,0.009
ours_logo_cv,47,1.0,1.0,0.0,0.0,0.0,0.0,0.004,0.01
ours_logo_cv,48,0.5,0.1875,0.0,0.0,0.0,0.0033333333333333335,0.004,0.008
ours_logo_cv,49,1.0,0.5416666666666666,0.0,0.0,0.0,0.0,0.006,0.01
ours_logo_cv,50,0.8333333333333334,0.625,0.0,0.0,0.0,0.0033333333333333335,0.004,0.007
ours_logo_cv,51,1.0,0.0,0.0,0.0,0.0,0.0,0.006,0.009
ours_logo_cv,52,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.008
ours_logo_cv,53,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01
ours_logo_cv,54,1.0,1.0,0.0,0.0,0.0,0.0,0.002,0.01
ours_logo_cv,55,0.75,0.625,0.0,0.0,0.0,0.0,0.0,0.008
ours_logo_cv,56,0.9019607843137255,0.6357069143446853,0.0,0.0,0.0,0.02666666666666667,0.072,0.062
ours_logo_cv,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ours_logo_cv,58,0.4444444444444444,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.005
ours_logo_cv,59,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.002,0.005
ours_logo_cv,60,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.003
ours_logo_cv,61,,,0.0,0.0,0.0,0.0,0.0,0.0
ours_logo_cv,62,1.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.009
ours_logo_cv,63,0.8,0.8,0.0,0.0,0.0,0.0,0.002,0.005
ours_logo_cv,64,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008
ours_logo_cv,65,0.8571428571428571,0.7142857142857144,0.0,0.0,0.0,0.0,0.0,0.007
ours_logo_cv,66,0.4727272727272727,0.3769696969696972,0.0,0.0,0.0,0.0,0.0,0.031
ours_logo_cv,67,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.002
ours_logo_cv,68,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.003
ours_logo_cv,69,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.004
ours_logo_cv,70,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.001
ours_logo_cv,71,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.002,0.008
ours_logo_cv,72,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.001
ours_logo_cv,73,,,0.0,0.0,0.0,0.0033333333333333335,0.004,0.004
ours_logo_cv,74,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.01
ours_logo_cv,75,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.002
ours_logo_cv,76,1.0,1.0,0.0,0.0,0.0,0.0,0.004,0.007
ours_logo_cv,77,1.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.01
ours_logo_cv,78,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.009
ours_logo_cv,79,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.002
ours_logo_cv,80,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01
ours_logo_cv,81,0.9,0.9,0.0,0.0,0.0,0.0,0.002,0.009
ours_logo_cv,82,0.7419354838709677,0.5383064516129032,0.0,0.0,0.0,0.0,0.0,0.051
ours_logo_cv,83,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.0,0.004,0.007
ours_logo_cv,84,1.0,1.0,0.0,0.0,0.0,0.006666666666666667,0.004,0.01
ours_logo_cv,85,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009
ours_logo_cv,86,1.0,0.9166666666666666,0.0,0.0,0.0,0.013333333333333334,0.016,0.008
ours_logo_cv,87,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.007
ours_logo_cv,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ours_logo_cv,89,0.8,0.8,0.0,0.0,0.0,0.0033333333333333335,0.002,0.008
ours_logo_cv,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ours_logo_cv,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ours_logo_cv,92,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.003
ours_logo_cv,93,0.75,0.625,0.0,0.0,0.0,0.0,0.0,0.008
ours_logo_cv,94,1.0,0.6875,0.0,0.0,0.0,0.0,0.0,0.009
ours_logo_cv,95,,,0.0,0.0,0.0,0.0,0.0,0.005
ours_logo_cv,96,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.006,0.006
ours_logo_cv,97,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.007
ours_logo_cv,98,0.4,0.4,0.0,0.0,0.0,0.0,0.004,0.004
ours_logo_cv,99,0.9523809523809523,0.39229024943310653,0.0,0.0,0.0,0.0,0.046,0.053
ours_logo_cv,100,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009
ours_logo_cv,101,0.8604651162790697,0.6675279931093887,0.0,0.0,0.02,0.08333333333333333,0.096,0.055
channel_bm25,1,0.2602739726027397,0.05885337392186707,1.0,0.6,0.31,0.12666666666666668,0.084,0.043
channel_bm25,2,0.8153846153846154,0.34143920595533517,0.9,0.46,0.31,0.19333333333333333,0.132,0.082
channel_bm25,3,1.0,0.0,1.0,0.58,0.39,0.2,0.126,0.067
channel_bm25,4,0.9146341463414634,0.4204107830551993,1.0,0.54,0.33,0.17333333333333334,0.142,0.091
channel_bm25,5,0.9294117647058824,0.8134453781512593,1.0,0.54,0.32,0.18,0.126,0.081
channel_bm25,6,0.5,0.5,0.0,0.02,0.02,0.01,0.006,0.005
channel_bm25,7,0.8333333333333334,0.8333333333333334,0.1,0.02,0.01,0.006666666666666667,0.008,0.005
channel_bm25,8,1.0,1.0,0.0,0.02,0.02,0.006666666666666667,0.004,0.003
channel_bm25,9,0.25,0.25,0.0,0.0,0.0,0.01,0.006,0.004
channel_bm25,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
channel_bm25,11,0.696969696969697,0.5656565656565657,0.1,0.04,0.02,0.02,0.024,0.039
channel_bm25,12,0.8461538461538461,0.4674556213017752,0.1,0.04,0.05,0.05333333333333334,0.046,0.038
channel_bm25,13,1.0,0.5,0.0,0.04,0.03,0.01,0.02,0.01
channel_bm25,14,0.5217391304347826,0.4438405797101449,0.0,0.02,0.05,0.05333333333333334,0.048,0.032
channel_bm25,15,0.39473684210526316,0.3125,0.0,0.16,0.1,0.05,0.034,0.03
channel_bm25,16,0.7,0.7,0.0,0.0,0.0,0.0033333333333333335,0.006,0.007
channel_bm25,17,0.5,0.5,0.0,0.02,0.01,0.0033333333333333335,0.004,0.005
channel_bm25,18,0.3333333333333333,0.3333333333333333,0.1,0.02,0.03,0.01,0.006,0.003
channel_bm25,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_bm25,20,0.5,0.375,0.0,0.02,0.01,0.006666666666666667,0.004,0.003
channel_bm25,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_bm25,22,0.625,0.625,0.0,0.0,0.01,0.0033333333333333335,0.008,0.005
channel_bm25,23,0.625,0.625,0.0,0.0,0.0,0.0,0.002,0.005
channel_bm25,24,1.0,0.0,0.0,0.02,0.02,0.013333333333333334,0.012,0.008
channel_bm25,25,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.0033333333333333335,0.002,0.004
channel_bm25,26,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.005
channel_bm25,27,0.18181818181818182,0.10284664830119375,0.1,0.04,0.06,0.06666666666666667,0.048,0.025
channel_bm25,28,0.7,0.7,0.0,0.0,0.0,0.01,0.008,0.007
channel_bm25,29,0.5,0.125,0.0,0.0,0.01,0.01,0.006,0.006
channel_bm25,30,0.9,0.9,0.0,0.02,0.01,0.01,0.008,0.009
channel_bm25,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_bm25,32,1.0,1.0,0.0,0.0,0.0,0.006666666666666667,0.008,0.01
channel_bm25,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
channel_bm25,34,0.4857142857142857,0.4816326530612245,0.0,0.02,0.04,0.03666666666666667,0.026,0.018
channel_bm25,35,0.8,0.8,0.0,0.0,0.0,0.0033333333333333335,0.004,0.008
channel_bm25,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_bm25,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_bm25,38,0.5,0.375,0.0,0.0,0.0,0.0,0.006,0.007
channel_bm25,39,0.75,0.4375,0.0,0.0,0.01,0.0033333333333333335,0.002,0.006
channel_bm25,40,0.6666666666666666,0.0,0.0,0.02,0.01,0.01,0.014,0.007
channel_bm25,41,0.6,0.15999999999999998,0.1,0.02,0.03,0.016666666666666666,0.01,0.007
channel_bm25,42,0.375,0.1875,0.0,0.02,0.02,0.006666666666666667,0.004,0.004
channel_bm25,43,0.3333333333333333,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.002
channel_bm25,44,1.0,1.0,0.0,0.0,0.0,0.0033333333333333335,0.004,0.01
channel_bm25,45,1.0,0.625,0.0,0.0,0.0,0.006666666666666667,0.012,0.01
channel_bm25,46,1.0,0.0625,0.1,0.04,0.02,0.01,0.006,0.01
channel_bm25,47,1.0,1.0,0.0,0.0,0.01,0.0033333333333333335,0.006,0.01
channel_bm25,48,0.5,0.25,0.0,0.02,0.02,0.01,0.012,0.008
channel_bm25,49,1.0,0.625,0.0,0.0,0.0,0.013333333333333334,0.014,0.01
channel_bm25,50,0.8333333333333334,0.375,0.1,0.02,0.02,0.006666666666666667,0.004,0.008
channel_bm25,51,1.0,0.5,0.0,0.02,0.02,0.013333333333333334,0.012,0.01
channel_bm25,52,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,0.0033333333333333335,0.006,0.008
channel_bm25,53,1.0,1.0,0.0,0.06,0.04,0.016666666666666666,0.014,0.01
channel_bm25,54,1.0,1.0,0.0,0.0,0.02,0.01,0.006,0.01
channel_bm25,55,1.0,0.0625,0.0,0.04,0.02,0.013333333333333334,0.008,0.01
channel_bm25,56,0.8235294117647058,0.4396284829721364,0.1,0.16,0.11,0.06,0.056,0.053
channel_bm25,57,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.002
channel_bm25,58,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.002,0.002
channel_bm25,59,1.0,0.3333333333333333,0.0,0.04,0.05,0.02,0.016,0.01
channel_bm25,60,0.4,0.4,0.0,0.0,0.0,0.0,0.002,0.004
channel_bm25,61,,,0.0,0.0,0.0,0.0,0.0,0.0
channel_bm25,62,1.0,0.8125,0.0,0.0,0.03,0.01,0.01,0.009
channel_bm25,63,0.6,0.4800000000000001,0.1,0.02,0.01,0.0033333333333333335,0.006,0.004
channel_bm25,64,0.875,0.875,0.0,0.0,0.0,0.0,0.004,0.007
channel_bm25,65,0.8571428571428571,0.6666666666666667,0.0,0.02,0.03,0.013333333333333334,0.012,0.009
channel_bm25,66,0.7272727272727273,0.4315151515151513,0.0,0.04,0.04,0.04,0.034,0.052
channel_bm25,67,1.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.01
channel_bm25,68,0.7142857142857143,0.380952380952381,0.0,0.0,0.0,0.0,0.002,0.008
channel_bm25,69,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.002,0.001
channel_bm25,70,0.4,0.4,0.0,0.0,0.01,0.0033333333333333335,0.002,0.004
channel_bm25,71,1.0,1.0,0.0,0.0,0.0,0.0033333333333333335,0.004,0.008
channel_bm25,72,0.7567567567567568,0.6208026208026206,0.2,0.22,0.14,0.14,0.086,0.049
channel_bm25,73,,,0.0,0.0,0.01,0.0033333333333333335,0.004,0.002
channel_bm25,74,0.7777777777777778,0.3333333333333333,0.0,0.0,0.0,0.013333333333333334,0.01,0.008
channel_bm25,75,0.9,0.9,0.0,0.0,0.02,0.02666666666666667,0.018,0.009
channel_bm25,76,1.0,0.48,0.0,0.02,0.01,0.006666666666666667,0.004,0.01
channel_bm25,77,1.0,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.01
channel_bm25,78,0.9,0.9,0.0,0.04,0.05,0.023333333333333334,0.014,0.009
channel_bm25,79,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.002
channel_bm25,80,0.8,0.8,0.0,0.02,0.04,0.013333333333333334,0.008,0.008
channel_bm25,81,1.0,1.0,0.0,0.02,0.03,0.02,0.012,0.01
channel_bm25,82,0.9193548387096774,0.9193548387096774,0.1,0.06,0.08,0.07666666666666666,0.072,0.057
channel_bm25,83,0.8888888888888888,0.4444444444444444,0.0,0.0,0.02,0.013333333333333334,0.01,0.009
channel_bm25,84,1.0,1.0,0.0,0.02,0.04,0.023333333333333334,0.016,0.01
channel_bm25,85,0.7777777777777778,0.6666666666666666,0.0,0.0,0.01,0.0033333333333333335,0.002,0.008
channel_bm25,86,0.8333333333333334,0.6666666666666666,0.0,0.0,0.0,0.0033333333333333335,0.01,0.009
channel_bm25,87,0.7,0.7,0.0,0.0,0.01,0.0033333333333333335,0.004,0.007
channel_bm25,88,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01
channel_bm25,89,0.8,0.8,0.0,0.04,0.02,0.006666666666666667,0.006,0.008
channel_bm25,90,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.001
channel_bm25,91,0.109375,0.109375,0.0,0.02,0.01,0.0033333333333333335,0.01,0.007
channel_bm25,92,0.23809523809523808,0.20861678004535156,0.2,0.04,0.03,0.016666666666666666,0.012,0.016
channel_bm25,93,0.625,0.625,0.0,0.0,0.01,0.0033333333333333335,0.006,0.005
channel_bm25,94,0.5,0.5,0.0,0.0,0.0,0.0,0.002,0.002
channel_bm25,95,,,0.0,0.0,0.0,0.0,0.002,0.002
channel_bm25,96,1.0,1.0,0.0,0.02,0.01,0.0033333333333333335,0.002,0.007
channel_bm25,97,0.625,0.3125,0.0,0.04,0.02,0.01,0.008,0.006
channel_bm25,98,0.8,0.8,0.0,0.0,0.01,0.01,0.01,0.008
channel_bm25,99,0.6666666666666666,0.5056689342403627,0.0,0.02,0.01,0.03666666666666667,0.046,0.031
channel_bm25,100,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.0033333333333333335,0.006,0.007
