query_id,query,domain,kerem_manav_label
1,software companies,xsfrj.com,1
1,software companies,inventorsoft.company,2
92,wealth management firms,curranllc.com,2
1,software companies,bizslate.com,1
92,wealth management firms,cabinet-scgpi.fr,2
1,software companies,animo-bg.com,2
1,software companies,innuendo.de,2
1,software companies,trilobyte-se.de,2
1,software companies,moviltechnologies.com,2
92,wealth management firms,kmwealthmanagement.com,2
92,wealth management firms,bruggerwealth.com,2
92,wealth management firms,wealthstrategyadvisorsllc.com,2
92,wealth management firms,slocumwealthmgt.com,2
1,software companies,arcos-software.de,2
1,software companies,apsglobal.co.uk,1
1,software companies,saleslogix.com,2
92,wealth management firms,griffinam.com,2
1,software companies,quadrasoft.com.ua,2
92,wealth management firms,planforwealth.ca,2
92,wealth management firms,parkplacefp.com,2
92,wealth management firms,financialplanningnewarkoh.com,2
92,wealth management firms,overbrook.com,2
92,wealth management firms,consortia.de,2
1,software companies,saasebc.com,2
1,software companies,ecaisoft.com,2
92,wealth management firms,rdrfinancial.com,2
92,wealth management firms,manning-napier.com,2
1,software companies,secondstreet.com,2
92,wealth management firms,veritasfinancialgroup.com,2
92,wealth management firms,lancasterfinancialgroup.com,2
1,software companies,genevasoftware.com,2
1,software companies,all-we.com.cn,2
1,software companies,cial.com.br,2
92,wealth management firms,equinoxfinancialpartners.com,2
1,software companies,starplc.com,2
92,wealth management firms,wettersteincapital.com,1
1,software companies,software-bakery.com,2
92,wealth management firms,thresholdwealthmanagement.com,2
1,software companies,marosoft.ma,2
1,software companies,optika.com,2
1,software companies,visioncomm.com,1
1,software companies,jawa-software.com,2
1,software companies,proware-cpa.com,2
1,software companies,namasoft.com,2
1,software companies,processproerp.com,2
1,software companies,softmint.net,2
1,software companies,insoftware.com.au,2
1,software companies,softwaregb.it,2
92,wealth management firms,miraclemileadvisors.com,2
92,wealth management firms,manningnapier.com,2
1,software companies,exerve.com,2
92,wealth management firms,sparinvest.de,2
1,software companies,aspl.in,2
92,wealth management firms,tam-ria.com,2
92,wealth management firms,thebridgegroup.com,2
92,wealth management firms,ibhcapital.com,2
1,software companies,bridgehead-europe.com,1
1,software companies,arthur-ashton.com,1
92,wealth management firms,e3wealth.com,2
1,software companies,starcons.ch,2
92,wealth management firms,spakfinancial.com,2
1,software companies,greatsoft.com.au,2
92,wealth management firms,penguinwealth.com,2
92,wealth management firms,asset-wealth.com,2
92,wealth management firms,athenacapital.com,2
92,wealth management firms,dsfwealthgroup.com,2
92,wealth management firms,balentine.com,2
1,software companies,kingdee.hk,1
92,wealth management firms,parkerfinancial.com.au,2
92,wealth management firms,bayridgefinancial.net,2
1,software companies,cybertechinfo.com,2
1,software companies,xinyeerp.com,2
92,wealth management firms,cwmteam.com,2
1,software companies,sjzufida.com,1
92,wealth management firms,martinadvisors.com,2
92,wealth management firms,intouchwealth.com,2
92,wealth management firms,investrwm.com,2
92,wealth management firms,gilhanghaysgroup.com,2
