query_id,query,domain,name,country,state,nace_code,summary,openai_label,claude_label,your_label
91,investment management firms,thebeekmangroup.com,The Beekman Group,United States,New York,NACE L: Financial and insurance activities,The Beekman Group is a private equity firm focused on partnering with management teams to grow companies into market-leading businesses. They manage over $1 billion in assets and have access to additional capital through strategic co-investment relationships. The firm has a history of completing numerous transactions and has a significant number of operating employees across its portfolio.,1,2,2
12,manufacturing in Baden-Württemberg,mkf-automation.de,mkf GmbH,Germany,Nordrhein-Westfalen,NACE C: Manufacturing,"mkf GmbH is a German company specializing in automation solutions, production services, and technical cleanliness & cleanroom technology. They design and build custom automation systems, including collaborative robots, assembly lines, and handling systems. Additionally, they offer contract manufacturing, assembly of complex components, and services within cleanroom environments, catering to various industries with over 30 years of experience.",0,1,1
91,investment management firms,brockcapital.com,Brock Capital Group LLC,United States,New York,NACE L: Financial and insurance activities,"Brock Capital Group is a full-service investment bank established in 2002, offering strategic advice and implementation support. It leverages the experience of over 45 managing directors to provide transaction advisory and consulting services. The firm's divisions include Brock Securities for capital raising, Brock Fiduciary Services managing over $30 billion for institutional investors, and Brock Real Estate for property financing.",1,2,2
12,manufacturing in Baden-Württemberg,erowa.se,EROWA AG,Sweden,Stockholm,NACE C: Manufacturing,"EROWA AG specializes in developing and manufacturing automation solutions for manufacturing technologies, focusing on smart factories. Their product range includes robotic automation systems, clamping systems, measuring and presetting devices, and process control software like JMS 4.0. The company aims to increase productivity, flexibility, and process reliability for its clients in industries such as medical technology, aerospace, and precision manufacturing.",0,1,1
12,manufacturing in Baden-Württemberg,cytiva.com,Cytiva,Germany,Baden-Württemberg,"NACE N: Professional, scientific and technical activities","Cytiva is a global provider of technologies and services that advance and accelerate the development and manufacture of therapeutics. They offer a broad range of products, including bioprocessing solutions, cell and gene therapy technologies, and laboratory services. Cytiva operates within the life sciences and biotechnology industry, aiming to help researchers and manufacturers bring life-changing therapies to patients faster.",1,2,2
91,investment management firms,investsense.co.za,InvestSense,South Africa,,NACE L: Financial and insurance activities,"InvestSense is an independent financial services provider offering tailored wealth management advice to individual and corporate clients. They focus on simplifying wealth management, empowering clients with sensible financial decisions, and building lasting relationships through trust and confidence. Their services include local and offshore investments, retirement planning, fiduciary services, life and business assurance, employee benefits, and tax-free savings.",1,2,2
91,investment management firms,lipmanburgon.com.au,Lipman Burgon & Partners,Australia,New South Wales,NACE L: Financial and insurance activities,"Lipman Burgon & Partners is a boutique wealth management firm offering tailored solutions for high-net-worth private clients, family offices, and not-for-profit entities. They focus on building enduring partnerships to deliver exceptional service, integrating portfolio construction, tax structuring, asset protection, and intergenerational wealth planning. The firm leverages its multi-disciplinary expertise and global network to grow, protect, and distribute wealth for its select clientele.",1,2,2
91,investment management firms,finbackinvestmentpartners.com,"Finback Investment Partners, LLC",United States,Indiana,NACE L: Financial and insurance activities,"Finback Investment Partners is a private equity firm founded in 2017, specializing in active minority investments in middle market and growth-stage companies. They leverage 'Network Capital,' providing access to executives and thought leaders, to drive value creation through business development, corporate strategy, and talent recruitment. The firm focuses on companies with a positive societal impact, with equity investments up to $60 million, across sectors like business services, healthcare, digital infrastructure, industrials, education, and software & technology.",1,2,2
91,investment management firms,assetmark.com,"AssetMark, Inc.",United States,California,NACE L: Financial and insurance activities,"AssetMark is a leading provider of wealth management and technology solutions for independent financial advisors. They offer a comprehensive suite of services including digital wealth management technology, investment management, tax management, direct indexing, and transition support. Their mission is to empower advisors by providing them with the tools, services, and guidance needed to grow their practices and better serve their clients' financial futures.",2,1,1
12,manufacturing in Baden-Württemberg,becht-online.de,Alfred Becht GmbH,Germany,Hessen,NACE C: Manufacturing,"Alfred Becht GmbH, operating under the brand ""Medical Masterminds. Products for Life."", is a German manufacturer specializing in high-quality medical products. With a history dating back to 1923, the company develops and produces a range of items for medical professionals and applications, including OEM private label services for cleaning, disinfection, endodontics, prophylaxis, and articulation paper. They emphasize innovation, reliability, and German medical quality, collaborating with medical experts worldwide.",1,0,0
12,manufacturing in Baden-Württemberg,flakado.de,Berlin Packaging Rixius GmbH,Germany,Baden-Württemberg,NACE C: Manufacturing,"Berlin Packaging Rixius GmbH is a provider of comprehensive packaging solutions, offering services from product ideation and design to filling and logistics. They cater to a wide range of industries including industrial, healthcare, food & beverage, and personal care. The company emphasizes sustainability and offers custom packaging options, leveraging a full-service approach to support clients throughout the product lifecycle.",1,2,2
12,manufacturing in Baden-Württemberg,est-gmbh.com,EST Integrata GmbH,Germany,Baden-Württemberg,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","EST Integrata GmbH is a German company specializing in providing tailored ERP software solutions, including BüroWARE, WEBWARE, and BW Factory, to businesses. They offer a comprehensive suite of services encompassing IT consulting, analysis, organization consulting, implementation, training, and support. The company focuses on adapting software to client processes to enhance efficiency and customer success, with a nationwide network to support clients across Germany.",1,0,0
12,manufacturing in Baden-Württemberg,albfeger.de,Heilmann Software Gesellschaft für Informationstechnologie mbH,Germany,Baden-Württemberg,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","Heilmann Software Gesellschaft für Informationstechnologie mbH develops innovative technologies and a platform called digibase for the building sector, aiming to transform markets and enable the energy transition through data-driven approaches. Their digibase Apps facilitate the digitalization of building data and the creation of customer networks. The company fosters an innovative culture driven by self-organization and a passion for work.",1,0,0
12,manufacturing in Baden-Württemberg,heilmannsoftware.de,Heilmann Software Gesellschaft für Informationstechnologie mbH,Germany,Baden-Württemberg,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","Heilmann Software Gesellschaft für Informationstechnologie mbH develops innovative technologies and a platform called digibase for the building sector, aiming to transform markets and enable the energy transition through data-driven approaches. Their digibase Apps facilitate the digitalization of building data and the creation of customer networks. The company fosters an innovative culture driven by self-organization and a passion for work.",1,0,0
82,public relations agencies,battenhall.net,Battenhall,United Kingdom,England,"NACE N: Professional, scientific and technical activities","Battenhall is a communications agency specializing in social media and technology for major brands. They offer strategic planning, innovative marketing campaigns, and content creation services, including digital and social content, photography, and video through their Battenhall Studios. The agency is recognized for its numerous 'Agency of the Year' awards and provides insights through reports like 'Year Ahead in Social'.",1,2,2
11,tech companies in Munich,altevi.de,Altevi Ltd. & CoKG,Germany,Bayern,"NACE N: Professional, scientific and technical activities","Altevi Ltd. & CoKG is an innovative electrical planning and engineering firm based in Munich, Germany. They specialize in modern electrical engineering solutions, including energy-saving lighting, solar power integration, alarm and video surveillance systems, and intelligent building management. The company offers comprehensive services from planning to implementation, aiming to provide customized solutions for both private and commercial clients.",1,2,2
27,biotech companies,xiaochengdu.com,LETOU,China,,NACE R: Human health and social work activities,"LETOU is a high-tech enterprise group founded in 1994, focused on the big health industry with a core in biopharmaceuticals and supported by biomedical engineering. It also engages in health care, medical rehabilitation, wellness, and health management services. The company emphasizes a philosophy of 'pursuing the unity of heaven and humanity, and improving life quality,' aiming to create health for all.",1,2,2
11,tech companies in Munich,copyworld-muenchen.eu,Copy World München,Germany,Bayern,NACE C: Manufacturing,"Copy World München is a company undergoing website renovations, providing services related to copying and printing. They can be contacted via email or phone for inquiries about their offerings. The company operates under the legal entity Firma Copy World Sabine Laschinger and is registered in Unterhaching, Germany.",1,0,0
27,biotech companies,rtkgrp.com,"RTK Group, LLC",United States,Delaware,"NACE N: Professional, scientific and technical activities",RTK Group is a biopharmaceutical advisory and investment fund dedicated to accelerating the development of promising technologies that have a disruptive impact and significant potential to benefit patients. They leverage expertise in company formation and technology development to assist high-performing management teams in realizing the full value potential of their innovations. Their mission is to improve patient lives and foster scientific innovation by supporting teams dedicated to advancing healthcare.,2,1,1
99,vertical farming companies,srikedawangtravel.com,Urban Farming,Malaysia,Selangor,"NACE A: Agriculture, forestry and fishing","This content discusses the rise of urban farming as a sustainable solution for cities facing growing populations and food security challenges. It defines urban farming, outlines its benefits including environmental sustainability, enhanced food security, community engagement, and economic opportunities, and touches upon the challenges and future prospects of this practice. The overall message highlights urban farming's potential to create more livable and resilient cities.",1,2,2
99,vertical farming companies,ceramech.com.my,Urban Farming,Malaysia,Selangor,"NACE A: Agriculture, forestry and fishing","This content discusses the rise of urban farming as a sustainable solution for cities facing growing populations and food security challenges. It defines urban farming, outlines its benefits including environmental sustainability, enhanced food security, community engagement, and economic opportunities, and touches upon the challenges and future prospects of this practice. The overall message highlights urban farming's potential to create more livable and resilient cities.",1,2,2
99,vertical farming companies,focusideas.com.my,Urban Farming,Malaysia,Johor,"NACE A: Agriculture, forestry and fishing","This content discusses the rise of urban farming as a sustainable solution for cities facing growing populations and food security challenges. It defines urban farming, outlines its benefits including environmental sustainability, enhanced food security, community engagement, and economic opportunities, and touches upon the challenges and future prospects of this practice. The overall message highlights urban farming's potential to create more livable and resilient cities.",1,2,2
66,customer relationship management (CRM) software,okdongdong.cn,美萍软件 (Meiping Software),China,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","Meiping Software provides a wide range of management software solutions for various industries, including retail, healthcare, hospitality, and services. Their offerings focus on business management, point-of-sale, inventory control, and customer relationship management, aiming to improve operational efficiency for businesses. The company emphasizes providing genuine, reliable software services to its extensive user base.",2,1,1
15,logistics companies in the US,tntbusinesssolutions.co.uk,FedEx,United Kingdom,England,NACE H: Transportation and storage,"FedEx is a global logistics and transportation company offering a wide range of shipping services for documents, packages, and freight, both domestically and internationally. They provide solutions for e-commerce, industry-specific needs, and value-added services like customs clearance and packaging supplies. FedEx aims to keep businesses' operations smooth and on track with flexible, reliable, and cost-effective shipping expertise.",0,1,1
11,tech companies in Munich,holm-computer-service.de,"Manfred Holm Computer Service, Beratung und Vertrieb",Germany,Bayern,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","Manfred Holm Computer Service, Beratung und Vertrieb offers IT consulting, organization, and sales services, including workflow analysis, IT environment design, hardware purchasing advice, and network setup. They also provide IT services such as troubleshooting, system configuration, and personalized PC application training. The company focuses on delivering ready-to-use IT systems and on-site installation within the Munich area, with a support hotline for purchased products.",2,1,1
101,alternative protein manufacturers,eurosoy.de,EUROSOY GmbH,Germany,Hamburg,NACE G: Wholesale and retail trade,"EUROSOY GmbH is a leading international trading partner specializing in high-quality food ingredients, with a particular expertise in plant-based proteins. They offer a range of products including soy protein isolates and concentrates (Vegacon®), soy lecithin products (Lecifine®), and various plant proteins derived from peas, rice, fava beans, pumpkin seeds, and sunflowers (Varioplant®). The company emphasizes quality, reliability, and price stability, serving diverse sectors such as dairy and meat alternatives, baked goods, beverages, confectionery, sports nutrition, and pharmaceuticals.",2,1,1
56,defense contractors,rdp21.org,Regional Defense Partnership (RDP),United States,Ohio,"NACE N: Professional, scientific and technical activities","The Regional Defense Partnership (RDP) is a community-based organization in Ventura County that advocates for and supports the county's military facilities and defense contractors. It acts as a liaison between the military, private enterprise, and government to preserve military assets and the regional economy, which is significantly boosted by over 24,000 employees and an annual economic impact of $4.6 billion.",2,1,1
27,biotech companies,eapb.org,Europäische Arbeitsgemeinschaft für Pharma Biotechnologie (EAPB),Germany,Berlin,"NACE N: Professional, scientific and technical activities","The Europäische Arbeitsgemeinschaft für Pharma Biotechnologie (EAPB) appears to be an organization focused on pharmaceutical biotechnology, as indicated by its name and the product categories listed. The website features articles on topics such as antibiotic discovery from fungi, biotechnology opportunities, plant molecular farming for health products, and the economic evaluation of drugs. It also lists product categories like antibodies, assay kits, DNA templates, and exosomes, suggesting a role in research, development, or supply within the biotech and pharmaceutical sectors.",2,1,1
14,pharmaceutical companies,pharmatech.com.pl,Pharmatech Group,Poland,Mazowieckie,"NACE N: Professional, scientific and technical activities","Pharmatech Group offers comprehensive solutions for the pharmaceutical industry. Their services likely encompass production support, consulting, and potentially other specialized services tailored to pharmaceutical manufacturing and development. The company positions itself as a provider of integrated solutions within this sector.",2,1,1
27,biotech companies,sanqifh.com,xxpay钱包,China,,NACE R: Human health and social work activities,"xxpay钱包 is a high-tech enterprise group founded in 1994, focusing on the big health industry with a core in the big biopharmaceutical sector. It also engages in biomedical engineering, health care, medical rehabilitation, health and wellness, and health management services. The company emphasizes a philosophy of 'harmony between heaven and man' and aims to improve life quality, with a vision of 'creating health for everyone to share'.",1,2,2
27,biotech companies,qzynkzx.com,xxpay钱包,China,,NACE R: Human health and social work activities,"xxpay钱包 is a high-tech enterprise group founded in 1994, focusing on the big health industry with a core in the big biopharmaceutical sector. It also engages in biomedical engineering, health care, medical rehabilitation, health and wellness, and health management services. The company emphasizes a philosophy of 'harmony between heaven and man' and aims to improve life quality, with a vision of 'creating health for everyone to share'.",1,2,2
15,logistics companies in the US,landesk.mx,Ländesk Integral Solutions,Mexico,,NACE H: Transportation and storage,"Ländesk Integral Solutions is a professional logistics operator offering a comprehensive suite of services including warehousing, national and international transportation, re-packaging, picking, cross-docking, and fiscal warehousing. They emphasize personalized service with a dedicated contact, 24/7 monitoring of their fleet, competitive pricing due to owned infrastructure, and over 20 years of experience. The company aims to be a preferred partner by providing reliable and excellent logistics solutions tailored to client needs, particularly within the automotive, aeronautics, and appliance sectors.",1,0,0
92,wealth management firms,glenmedeim.com,Glenmede Investment Management,United States,Pennsylvania,NACE L: Financial and insurance activities,"Glenmede Investment Management (GIM) is an independently owned boutique asset management company that provides actively managed equity, derivatives, and thematic investment strategies for institutional investors, advisors, and consultants. They focus on exploiting market inefficiencies and managing risk through various market conditions, offering solutions via mutual funds, separately managed accounts, and collective investment vehicles. GIM emphasizes a disciplined investment philosophy rooted in understanding behavioral biases and compounding business value.",2,1,1
27,biotech companies,deltatd.com,Delta Trading & Development,Egypt,Al Jizah,"NACE N: Professional, scientific and technical activities","Delta Trading & Development powers the biotech industry by providing high-quality lab equipment, instruments, and specialized products for life science, microbiology, food safety, immunology, and veterinary/agro diagnostics. The company focuses on innovation, customer satisfaction, and delivering exceptional performance, aiming to improve healthcare through advanced scientific solutions and personalized medicine.",2,1,1
11,tech companies in Munich,fehrconsult.de,IT- UND BUSINESSBERATUNG,Germany,Bayern,"NACE N: Professional, scientific and technical activities","This entity offers IT and business consulting services, focusing on business and process analysis, project management, and software development and rollout. The website outlines their services and provides contact information, suggesting a professional service provider in the IT sector.",1,2,2
27,biotech companies,frost-lifescience.com,FROST LIFESCIENCE,Germany,Bayern,"NACE N: Professional, scientific and technical activities","FROST LIFESCIENCE is a consulting and sales firm specializing in business development for biotech startups. They offer expertise in marketing, sales, and business development to help new companies establish market presence and sell their products and services. The company also sells research products like protein aggregation assay kits and collaborates with a network of CROs and CMOs for specialized services.",2,1,1
99,vertical farming companies,thorntonagriculture.com,Thornton Agriculture,United States,Utah,"NACE A: Agriculture, forestry and fishing","Thornton Agriculture is a family-run agricultural organization that has expanded from a small farm to a comprehensive service provider. They specialize in promoting profitable and sustainable farming techniques, with a focus on cover crops. Their services include consultations, seed sales, planting, and field management for farms of all sizes, aiming to preserve crop and livestock quality while minimizing environmental impact.",1,0,0
27,biotech companies,genilac.com,GEN İlaç ve Sağlık Ürünleri Sanayi ve Ticaret A.Ş.,Turkey,Ankara,NACE R: Human health and social work activities,"GEN İlaç is a rapidly growing pharmaceutical company founded in 1998, focusing on providing global solutions for rare diseases and unmet health needs. With a broad product range, innovative approach, and an expert team operating worldwide, the company aims to be a significant global player in the pharmaceutical sector and a future health brand, adhering to ethical and scientific principles. It operates a GMP-approved manufacturing facility and R&D center, with a presence in 7 countries and over 500 employees.",1,2,2
14,pharmaceutical companies,paragonbiosci.com,Paragon Biosciences LLC,United States,Illinois,"NACE N: Professional, scientific and technical activities","Paragon Biosciences is a global life science leader that creates, builds, and funds innovative biology-based companies. They focus on accelerating innovation within the life sciences sector, as evidenced by their diverse portfolio of companies developing novel therapies for neurological disorders, regenerative medicine, and protein therapeutics using AI. Their mission appears to be fostering the growth of groundbreaking biotechnology ventures.",2,1,1
14,pharmaceutical companies,westendpharma.com,Westendpharma GmbH,Switzerland,Zug,"NACE N: Professional, scientific and technical activities","Westendpharma GmbH is a company that facilitates and enriches interactions between pharmaceutical companies and healthcare professionals. They specialize in providing tailored drug supply chain solutions, connecting patients with innovations and appropriate physicians, and supporting medical professionals with scientific information and resources. Their mission is to create innovative, transparent, and cost-efficient medication supply chains focused on patient needs, leveraging a strong network of doctors and scientific partners.",2,1,1
11,tech companies in Munich,ystmr.com,Yestermorrow Ventures UG (haftungsbeschränkt),Germany,Bayern,"NACE N: Professional, scientific and technical activities","Yestermorrow Ventures is a German limited liability company driven by technological progress and curiosity. While specific details about its products or services are not provided, its name suggests a focus on future-oriented ventures, potentially in technology or innovation sectors. The company is based in Munich, Germany.",1,2,2
14,pharmaceutical companies,biropharma.hu,Biropharma Kft.,Hungary,Bács-Kiskun,NACE C: Manufacturing,"Biropharma Kft. is a Hungarian company established in 1998, specializing in the development and manufacturing of plant-based medicines and dietary supplements. They produce proprietary products like Avemar, a fermented wheat germ extract for cancer patients, and Immunovet, a plant-based immune booster for animals. The company also offers contract manufacturing services for plant-based medicines and dietary supplements, adhering to GMP and ISO 9001 standards.",1,2,2
72,managed service providers (MSPs),appxite.com,AppXite,Latvia,Riga,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","AppXite offers an AI-ready digital marketplace, CPQ (Configure-Price-Quote), and billing platform designed for distributors, telcos, MSPs, and vendors. The platform enables businesses to automate and scale their subscription, consumption, and AI-based services globally. It provides features for catalog management, channel management, subscription billing, provisioning, and integrations, facilitating complex pricing models and partner ecosystem management.",2,1,1
66,customer relationship management (CRM) software,e-estilo.pl,Nowoczesne oprogramowanie CRM,Poland,Warmińsko-Mazurskie,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","This website, e-estilo.pl, focuses on modern CRM software and marketing automation. It provides blog posts and information related to customer relationship management, sales automation, and how personalization can increase sales. The content suggests a focus on helping businesses improve their customer interactions and sales processes through technology.",2,1,1
66,customer relationship management (CRM) software,cellcorporacaotecnologica.com,CELL Corporação Tecnológica,Brazil,Paraná,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","CELL Corporação Tecnológica offers technological solutions for businesses, focusing on management software. Their products include features for managing sales, inventory, customer relations, and financial operations such as automatic billing and commission payments. They aim to provide comprehensive tools to optimize business processes and enhance customer experience.",1,2,2
101,alternative protein manufacturers,mukkaproteins.com,Mukka Proteins Limited,India,Karnataka,NACE C: Manufacturing,"Mukka Proteins Limited is an Indian animal protein company specializing in the production of fish meal, fish oil, and fish soluble paste. They also focus on developing alternative proteins like Black Soldier Fly (BSF) insect meal for the animal feed segment. The company emphasizes quality assurance and operates manufacturing units in key coastal areas of India and the Gulf of Oman, positioning itself as a leading exporter of fish-based products.",1,2,2
72,managed service providers (MSPs),meapsrl.com,M.E.A.P. srl,Italy,Apulia,NACE O: Administrative and support service activities,"M.E.A.P. srl is a service company that provides tailored solutions for various clients, aiming to offer quality services while reducing public and private entities' costs associated with personnel management. They specialize in services such as porterage, security, reception, cleaning, maintenance, gardening, and handling. The company operates nationwide, 24/7, 365 days a year, emphasizing reliability and innovation.",1,0,0
66,customer relationship management (CRM) software,ocenka123.ru,CRM,Russia,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","The website ""CRM"" appears to be a login portal for a Customer Relationship Management system. It offers basic login functionality, including fields for username, password, and options to remember the user or reset the password. The site's primary purpose is to grant access to an existing CRM service.",2,1,1
66,customer relationship management (CRM) software,mp-sales-consulting.de,MP Sales Consulting GmbH,Germany,Berlin,"NACE N: Professional, scientific and technical activities","MP Sales Consulting GmbH is a CRM consulting firm that helps businesses optimize their customer relationship management systems for increased customer loyalty and revenue. They offer services including CRM introduction, project management, and operational support, acting as an independent partner to guide clients through CRM selection and implementation. The company focuses on bridging the gap between business needs, IT, and CRM solutions across various industries.",2,1,1
72,managed service providers (MSPs),uspass.com,US Post-Acute Service Solutions (USPASS),United States,New Jersey,NACE R: Human health and social work activities,"US Post-Acute Service Solutions (USPASS) is a network of skilled nursing facilities specializing in post-acute care services. They focus on providing a seamless continuum of care after hospitalization, aiming to improve patient recovery outcomes and reduce readmissions. USPASS collaborates with insurance payors, healthcare systems, and medical providers to deliver personalized, coordinated, and cost-effective care, positioning itself as a leader in value-based care.",1,0,0
